Title,Year,Directors,WatchedDate,Rating,Rating10
Pet Sematary,2019,"Dennis Widmyer, Kevin Kolsch",2020-04-21,3.0,6
Napoleon Dynamite,2004,Jared Hess,2020-04-20,3.5,7
Captain Marvel,2019,"Anna Boden, Ryan Fleck",2020-04-19,3.5,7
Annie Hall,1977,Woody Allen,2020-04-18,3.5,7
The Gentlemen,2019,Guy Ritchie,2020-04-18,4.0,8
Onward,2020,Dan Scanlon,2020-04-17,4.0,8
The Hunger Games: Mockingjay. Part 2,2015,Francis Lawrence,2020-04-16,2.5,5
The Hunger Games: Mockingjay - Part I,2014,Francis Lawrence,2020-04-16,2.5,5
Meet the Robinsons,2007,Stephen J. Anderson,2020-04-12,3.5,7
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,2020-04-11,3.0,6
Suspiria,2018,Luca Guadagnino,2020-04-11,3.0,6
Big Fish,2003,Tim Burton,2020-04-10,5.0,10
Fear and Desire,1953,Stanley Kubrick,2020-04-10,2.5,5
Nymphomaniac. Part 2,2013,Lars von Trier,2020-04-09,3.5,7
Nymphomaniac. Part 1,2013,Lars von Trier,2020-04-09,3.0,6
The Darjeeling Limited,2007,Wes Anderson,2020-04-08,4.0,8
Throne of Blood,1957,Akira Kurosawa,2020-04-08,3.5,7
The Color Purple,1985,Steven Spielberg,2020-04-04,4.0,8
Jersey Boys,2014,Clint Eastwood,2020-04-02,3.5,7
To Return,2006,Pedro Almodóvar,2020-03-28,3.5,7
X2,2003,Bryan Singer,2020-03-27,3.5,7
Double Indemnity,1944,Billy Wilder,2020-03-26,4.0,8
The Life Aquatic with Steve Zissou,2004,Wes Anderson,2020-03-26,3.5,7
The Platform,2019,Galder Gaztelu-Urrutia,2020-03-21,4.0,8
Seventh Son,2014,Sergey Bodrov,2020-03-20,2.5,5
Miles Davis: Birth of the Cool,2019,Stanley Nelson,2020-03-20,4.0,8
The Lighthouse,2019,Robert Eggers,2020-03-19,3.5,7
24 Hour Party People,2002,Michael Winterbottom,2020-03-17,3.0,6
Cool World,1992,Ralph Bakshi,2020-03-15,3.0,6
Blood Diamond,2006,Edward Zwick,2020-03-14,4.0,8
The Pirates! Band of Misfits,2012,"Peter Lord, Jeff Newitt",2020-03-13,4.0,8
Marriage Story,2019,Noah Baumbach,2020-03-13,3.5,7
Escape from Alcatraz,1979,Don Siegel,2020-03-12,4.0,8
Shrew's Nest,2014,"Juanfer Andrés, Esteban Roel",2020-03-12,3.5,7
The House That Jack Built,2018,Lars von Trier,2020-03-07,3.5,7
Tully,2018,Jason Reitman,2020-02-22,3.5,7
The Dirt,2019,Jeff Tremaine,2020-02-15,3.5,7
The Two Popes,2019,Fernando Meirelles,2020-02-13,4.0,8
Sound & Fury,2019,"Michael Arias, Masayuki Matsumoto",2020-02-08,3.5,7
The Angry Birds Movie 2,2019,"Thurop Van Orman, John Rice",2020-02-08,3.0,6
Bad Education,2004,Pedro Almodóvar,2020-01-23,4.0,8
The Flower of My Secret,1995,Pedro Almodóvar,2020-01-23,3.0,6
Cat on a Hot Tin Roof,1958,Richard Brooks,2020-01-20,4.5,9
Angel-A,2005,Luc Besson,2020-01-18,4.0,8
Kika,1993,Pedro Almodóvar,2020-01-18,3.0,6
Jojo Rabbit,2019,Taika Waititi,2020-01-17,4.0,8
The Matrix Revolutions,2003,"Lilly Wachowski, Lana Wachowski",2020-01-17,3.5,7
Parasite (Gisaengchung),2019,Bong Joon-ho,2020-01-11,4.5,9
1917,2019,Sam Mendes,2020-01-10,4.5,9
The Matrix Reloaded,2003,"Lilly Wachowski, Lana Wachowski",2020-01-09,3.5,7
The Law of Desire,1987,Pedro Almodóvar,2020-01-06,3.5,7
High Heels,1991,Pedro Almodóvar,2020-01-06,3.0,6
Alexander,2004,Oliver Stone,2020-01-05,3.5,7
Tie Me Up! Tie Me Down!,1989,Pedro Almodóvar,2020-01-04,3.5,7
Robin Hood: Men in Tights,1993,Mel Brooks,2020-01-03,3.5,7
King Arthur: Legend of the Sword,2017,Guy Ritchie,2020-01-03,3.5,7
The Matrix,1999,"Lilly Wachowski, Lana Wachowski",2020-01-03,4.5,9
The Other Side of the Wind,2018,Orson Welles,2020-01-01,3.0,6
